id,title,description,created_at,edited_at,user_id
74,"Piano Tuner of Earthquakes, The","Sltr-haris Type I physl fx upr end humer, l arm, 7thD",12/7/2020,5/28/2021,01
75,Beethoven's Big Break,"Open bite of left index finger w/o damage to nail, sequela",7/18/2021,11/1/2020,13
76,Valley of the Bees (Údolí vcel),"Mech compl of internal fixation device of left femur, subs",10/12/2020,7/4/2021,33
77,Rings on Her Fingers,"Paralytic calcifcn and ossification of muscle, upper arm",12/11/2020,10/28/2020,52
78,Windfall,"Unsp injury of deep palmar arch of left hand, subs encntr",1/16/2021,5/21/2021,33
79,"Sense of History, A","Puncture wound without foreign body, left hip, sequela",6/30/2021,9/22/2020,61
80,"Wedding Banquet, The (Xi yan)","Driver of hv veh inj in nonclsn trnsp acc in traf, sequela",1/31/2021,1/10/2021,42
81,Ice Age,Other nonrheumatic aortic valve disorders,4/9/2021,5/31/2021,13
82,Girls Just Want to Have Fun,"Poisoning by unsp psychostim, accidental (unintentional)",10/5/2020,5/8/2021,83
83,"Perks of Being a Wallflower, The","Anaphylactic reaction due to vaccination, subs encntr",12/10/2020,4/6/2021,81
84,"Deadly Companions, The","Open bite of abd wall, right upper q w penet perit cav",5/13/2021,10/8/2020,62
85,Phenomena (a.k.a. Creepers),"Toxic effect of unspecified snake venom, assault, sequela",2/12/2021,5/29/2021,92
86,Mystery (Fu cheng mi shi),"Poisoning by oth antihypertensive drugs, self-harm, init",3/13/2021,1/27/2021,73
87,Odette Toulemonde,"Poisoning by propionic acid derivatives, assault, init",5/10/2021,4/14/2021,41
88,Versailles,"Oth physl fx lower end of r femur, subs for fx w delay heal",1/5/2021,11/22/2020,33
89,Powers of Ten,"Torus fx upper end of unsp radius, subs for fx w nonunion",11/11/2020,5/28/2021,12
90,Heavy Weather,"Toxic effect of rodenticides, accidental, init",9/30/2020,8/15/2021,72
91,Empty Nest (El nido vacío),"Occup of 3-whl mv injured in clsn w hv veh in traf, init",8/7/2021,4/23/2021,23
92,"Kids in the Hall: Same Guys, New Dresses",Corrosion of first deg mult sites of ankle and foot,1/29/2021,7/11/2021,43
93,Donald Glover: Weirdo,Other postherpetic nervous system involvement,3/30/2021,12/14/2020,23
94,Federico Fellini's Autobiography (Federico Fellini - un autoritratto ritrovato),"Nocardiosis, unspecified",12/9/2020,11/14/2020,71
95,Right at Your Door,"Other injury of tail of pancreas, initial encounter",10/24/2020,9/23/2020,23
96,17 Girls (17 filles),Type 1 diab w mild nonprlf diabetic rtnop w/o macular edema,5/30/2021,3/19/2021,71
97,Ong-Bak 2: The Beginning (Ong Bak 2),"Osteopathy in diseases classified elsewhere, unsp forearm",4/26/2021,8/22/2021,22
98,Two Men in Manhattan (Deux hommes dans Manhattan),Benign neoplasm of unspecified testis,1/31/2021,11/16/2020,13
99,Thirst (a.k.a. Three Strange Loves) (Törst),"Corros first degree of unsp mult fngr, not inc thumb, subs",4/13/2021,2/16/2021,81
100,Closing the Ring,"Prsnl hx of malig neoplm of lymphoid, hematpoetc & rel tiss",10/28/2020,3/26/2021,63
101,Meatballs III,"Oth specific arthropathies, NEC, unsp site",8/12/2021,3/28/2021,22
102,Blow Job,Injury of extn musc/fasc/tend at forearm level,10/13/2020,11/18/2020,63
103,Punishment Park,Rheu heart disease w rheumatoid arthritis of unsp wrist,2/12/2021,11/17/2020,22
104,Anger Management,"Oth nondisp fx of base of 1st MC bone, unsp hand, 7thP",1/16/2021,2/19/2021,33
105,"Great White Silence, The","Fall in (into) shower or empty bathtub, subsequent encounter",7/11/2021,5/27/2021,91
106,"I Love You, I Love You (Je t'aime je t'aime)","Lacerat musc/tend ant grp at low leg level, unsp leg, subs",2/22/2021,10/8/2020,01
107,Traffic (Trafic),"Torus fracture of upper end of right ulna, init for clos fx",1/1/2021,4/4/2021,22
108,Alone with Her,"Other superficial bite of scalp, subsequent encounter",10/15/2020,10/28/2020,53
109,"Sadness of Sex, The",Loose body in unspecified wrist,7/22/2021,9/4/2020,82
110,"Watermelon Woman, The","Unsp open wound of r little finger w damage to nail, init",6/1/2021,5/31/2021,83
111,Fightville,"Oth injury of right internal jugular vein, subs encntr",8/5/2021,7/2/2021,11
112,"Hen, his wife","Wedge compression fracture of first thoracic vertebra, init",6/13/2021,5/7/2021,22
113,Girl of Finland (Lapualaismorsian),"Nondisp simp suprcndl fx w/o intrcndl fx l humer, 7thB",3/13/2021,12/16/2020,72
114,Hangin' with the Homeboys,Toxic effect of other tobacco and nicotine,7/7/2021,5/21/2021,83
115,Fear City: A Family-Style Comedy (La cité de la peur),"Disp fx of prox phalanx of r less toe(s), init for opn fx",6/4/2021,12/7/2020,53
116,George and the Dragon,"Contusion of eyeball and orbital tissues, unsp eye, sequela",3/17/2021,12/31/2020,12
117,Numb,"Fall on board canoe or kayak, initial encounter",5/8/2021,3/8/2021,93
118,Catlow,"Calcium deposit in bursa, left hip",1/16/2021,3/24/2021,01
119,Noel,"Flail joint, shoulder",9/22/2020,8/21/2021,03
120,"Joneses, The","Lac w/o fb of left lesser toe(s) w damage to nail, sequela",6/9/2021,11/3/2020,53
121,Tucker: The Man and His Dream,Other and unsp diseases of pulp and periapical tissues,2/6/2021,1/8/2021,43
122,"Boy Who Could Fly, The","Disp fx of base of second metacarpal bone. left hand, init",9/4/2020,8/11/2021,23
123,Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika),"Other osteomyelitis, unspecified sites",3/17/2021,10/27/2020,43
124,Richard III,"Unsp fx upr end r ulna, subs for opn fx type I/2 w nonunion",7/31/2021,7/5/2021,33
125,"Villain, The (Ek Villain)",Forced landing of commrcl fix-wing arcrft injuring occupant,12/26/2020,7/21/2021,62
126,Sodom and Gomorrah,"Toxic effect of beryllium and its compounds, self-harm",2/4/2021,4/18/2021,13
127,"Divide and Conquer (Why We Fight, 3)","Inj greater saphenous vein at hip and thigh level, left leg",3/24/2021,8/5/2021,53
128,À nos amours,"Oth fx shaft of rad, left arm, subs for clos fx w malunion",9/10/2020,4/30/2021,83
129,"Carpetbaggers, The","Inj musc/fasc/tend at shldr/up arm, left arm, init",1/6/2021,10/25/2020,41
130,Baby Boy,Xeroderma of left upper eyelid,1/24/2021,11/5/2020,03
131,Logan's War: Bound by Honor,"Terrorism involving oth means, civilian injured, init encntr",8/3/2021,4/4/2021,32
132,Brother's Keeper,"Coma scale, eyes open",10/3/2020,8/29/2021,93
133,Rushmore,"Underdosing of emetics, subsequent encounter",1/31/2021,10/1/2020,03
134,Pretty Persuasion,"Corros 2nd deg of unsp site left lower limb, ex ank/ft, init",5/5/2021,12/9/2020,33
135,Einstein and Eddington,"Unsp fx head of right femur, subs for clos fx w malunion",8/14/2021,2/23/2021,52
136,Planet of the Apes,"War op w unsp fire/conflagr/hot subst, civilian, sequela",6/26/2021,2/14/2021,22
137,Appaloosa,Laceration of blood vessel of left middle finger,10/5/2020,11/25/2020,73
138,Cats & Dogs,"Tox eff of nitro & oth nitric acids and esters, asslt, init",10/19/2020,5/28/2021,92
139,Ladder 49,"Disorders of muscle in diseases classd elswhr, upper arm",11/13/2020,12/31/2020,01
140,"Butcher, The (Boucher, Le)","Oth injuries of left shoulder and upper arm, subs encntr",9/11/2020,12/13/2020,11
141,Ike: Countdown to D-Day,"Milt op w unarmed hand to hand combat, civilian, sequela",5/22/2021,4/10/2021,13
142,Claymation Comedy of Horrors,"Fall from sled, subsequent encounter",4/1/2021,9/28/2020,71
143,Angry Video Game Nerd: The Movie,Problem related to unspecified psychosocial circumstances,11/28/2020,11/14/2020,43
144,Me and Morrison (Minä ja Morrison),"Oth comp specific to multiple gest, third trimester, fetus 5",4/27/2021,6/1/2021,11
145,Ninja Cheerleaders,"Nondisp Maisonneuve's fx unsp leg, 7thP",6/10/2021,8/22/2021,72
146,These Are the Damned (a.k.a. The Damned),"Drusen of optic disc, right eye",10/2/2020,12/18/2020,81
147,My Name Is Julia Ross,"Other specified injury of axillary artery, right side",12/25/2020,6/21/2021,03
148,Ed,"Nondisp fx of intermed cuneiform of r ft, 7thK",8/20/2021,10/23/2020,72
149,The Next Voice You Hear....,"Struck by bat, racquet or club",9/7/2020,6/11/2021,33
150,Chatroom,"Poisoning by unsp drug/meds/biol subst, assault, init",8/2/2021,2/14/2021,83
151,Pekka ja Pätkä neekereinä,"Stress fracture, left foot",6/2/2021,8/22/2021,31
152,Pluto's Christmas Tree,Toxic effect of contact with other venomous fish,2/11/2021,9/26/2020,22
153,7 Seconds,"Oth psychoactive substance dependence w intoxication, unsp",4/16/2021,12/10/2020,63
154,Lloyds of London,"Laceration without foreign body of unsp elbow, sequela",10/20/2020,11/2/2020,63
155,Buck,"Nondisp fx of neck of fourth MC bone, left hand, init",11/17/2020,3/20/2021,13
156,Mighty Morphin Power Rangers: The Movie,"Oth benign neoplasm skin/ upper limb, including shoulder",6/2/2021,11/17/2020,73
157,Conflict,"Retrolental fibroplasia, unspecified eye",4/24/2021,9/11/2020,53
158,Zorba the Greek (Alexis Zorbas),"Burn of second degree of left upper arm, initial encounter",3/26/2021,2/11/2021,23
159,Jude the Obscure,"Pasngr in 3-whl mv injured in clsn w ped/anml in traf, init",7/26/2021,10/1/2020,82
160,Cattle Queen of Montana,"Drown d/t thrown ovrbrd by motion of unsp wtrcrft, init",11/13/2020,7/17/2021,13
161,Hotel Rwanda,"Other contact with other hoof stock, initial encounter",10/28/2020,1/13/2021,02
162,"International, The","Mtrcy pasngr injured in clsn w 2/3-whl mv in traf, sequela",6/22/2021,4/23/2021,33
163,Now You Know,"Burn of eye and adnexa, part unspecified",11/13/2020,5/27/2021,83
164,Riley Rewind,"Sprain of other part of unspecified wrist and hand, sequela",4/15/2021,4/28/2021,13
165,"Thing from Another World, The","Displ intertroch fx unsp femr, 7thQ",10/27/2020,9/29/2020,63
166,To Catch a Thief,"Nondisp fx of lateral condyle of r femr, 7thF",9/6/2020,1/22/2021,41
167,Blindman,"Burn of third degree of neck, initial encounter",4/4/2021,7/5/2021,92
168,Viva Knievel!,"Oligohydramnios, second trimester, fetus 4",1/10/2021,11/4/2020,92
169,"Adventures of Prince Achmed, The (Abenteuer des Prinzen Achmed, Die)","Sprain of lateral collateral ligament of left knee, init",7/19/2021,11/26/2020,43
170,Vile ,"Nondisplaced oth extrartic fracture of left calcaneus, init",10/12/2020,12/4/2020,43
171,Paradise Road,"Luxation of globe, bilateral",4/20/2021,11/13/2020,32
172,Wondrous Oblivion,"Path fx in oth disease, r tibia, subs for fx w delay heal",9/22/2020,10/8/2020,41
173,Age of Heroes,"Prsn inj in clsn betw mtr veh and 2/3-whl mv, nontraf, subs",10/23/2020,3/8/2021,83
174,April Fool's Day,"Flexion deformity, unspecified wrist",4/17/2021,7/19/2021,51
175,Wildflowers,"Toxic effect of noxious substances eaten as food, acc",7/1/2021,4/17/2021,83
176,"Human Comedy, The","Oth nondisp fx of base of 1st MC bone, unsp hand, 7thK",10/10/2020,8/11/2021,42
177,Slumber Party Massacre III,"Laceration w fb of unsp finger w/o damage to nail, subs",2/15/2021,1/14/2021,31
178,Red Planet,Subacute and chronic vaginitis,2/2/2021,5/19/2021,73
179,"Good Shepherd, The","Pnctr w/o fb of unsp bk wl of thorax w penet thor cav, sqla",12/31/2020,1/18/2021,92
180,A Husband of Round Trip,Old laceration of cervix uteri,4/5/2021,3/4/2021,83
181,I Will Fight No More Forever,"Unspecified dislocation of left little finger, sequela",9/10/2020,12/5/2020,43
182,El Cid,"Dislocation of L4/L5 lumbar vertebra, initial encounter",8/15/2021,10/16/2020,32
183,Elena and Her Men (Paris Does Strange Things) (Elena et les hommes),"Type 1 diab with severe nonp rtnop with macular edema, bi",4/13/2021,12/8/2020,03
184,Alexander the Great,"Underdosing of thyroid hormones and substitutes, sequela",1/11/2021,8/26/2021,82
185,Before Sunset,"Hypopyon, right eye",10/11/2020,9/24/2020,01
186,DiG!,"Pathological dislocation of elbow, not elsewhere classified",5/6/2021,1/17/2021,93
187,Bitter Sweet,Oth noninfective disorders of lymphatic vessels and nodes,6/2/2021,3/29/2021,33
188,Henri-Georges Clouzot's Inferno (L'enfer d'Henri-Georges Clouzot),"Contusion of lower back and pelvis, subsequent encounter",5/14/2021,5/15/2021,21
189,Tron: Legacy,"Secondary osteoarthritis, left hand",1/20/2021,10/9/2020,63
190,Cactus Flower,"Ulnar collateral ligament sprain of left elbow, init encntr",12/21/2020,6/21/2021,92
191,Step Into Liquid,Nondisplaced fracture of lateral end of left clavicle,10/29/2020,5/17/2021,63
192,Kill by Inches,Unspecified fracture of left foot,6/24/2021,2/1/2021,63
193,We Live Again,"Poisn by oth antacids and anti-gstrc-sec drugs, undet, sqla",5/16/2021,7/3/2021,42
194,Smashing Pumpkins: If All Goes Wrong,"Inj musc/fasc/tend at wrist and hand level, unsp hand, init",2/24/2021,1/26/2021,11
195,Adult Camp,Burn of first degree of left upper arm,6/5/2021,7/22/2021,31
196,"Autobiography of Miss Jane Pittman, The","Malignant neoplasm of gum, unspecified",4/25/2021,12/23/2020,42
197,Working Girl,Other symptoms and signs involving emotional state,12/21/2020,3/29/2021,73
198,"Simple Life of Noah Dearborn, The",Nondisplaced trimalleolar fracture of right lower leg,12/28/2020,11/5/2020,43
199,Never Met Picasso,Torsion of testis,9/20/2020,8/29/2021,53
200,Outlander,"Acute embolism and thombos unsp veins of up extrem, bi",8/12/2021,4/13/2021,93
201,On Dangerous Ground,"Oth osteopor w crnt path fx, unsp site, 7thD",5/30/2021,5/9/2021,73
202,Played,"Disp fx of low epiphy (separation) of unsp femr, 7thJ",7/22/2021,11/26/2020,33
203,"Woman's Tale, A","Poisoning by oth agents aff GI sys, accidental, init",3/5/2021,10/16/2020,92
204,Girls Town,Machinery accident on board passenger ship,12/27/2020,9/15/2020,73
205,Dahmer,"Sltr-haris Type III physl fx low end r tibia, 7thG",2/1/2021,3/5/2021,72
206,Alice's Adventures in Wonderland,"Superficial foreign body of oral cavity, subs encntr",11/21/2020,8/27/2021,93
207,"Ronde, La","Unsp inj unsp musc/fasc/tend at thi lev, unsp thigh, sequela",10/9/2020,9/20/2020,92
208,"Inn in Tokyo, An (Tôkyô no yado)","Unspecified open wound, left thigh, initial encounter",8/3/2021,8/25/2021,32
209,We Are the Best! (Vi är bäst!),"Disp fx of posterior column of unsp acetabulum, sequela",7/7/2021,10/12/2020,63
210,Texas Terror,"Oth congen malform of upper limb(s), inc shoulder girdle",5/23/2021,7/12/2021,13
211,Surviving Christmas,"Chronic angle-closure glaucoma, bilateral, stage unspecified",3/2/2021,1/12/2021,13
212,"Trials of Henry Kissinger, The","Path fracture in neoplastic disease, left femur, init",12/11/2020,6/29/2021,73
213,Adventure in Baltimore,"Oth fx upr end l ulna, 7thN",6/6/2021,7/28/2021,23
214,Hen Hop,"Burn of first degree of left forearm, sequela",1/21/2021,9/5/2020,52
215,Leave Her to Heaven,"Fall same lev from slip/trip w strk agnst pwr tl/machn, sqla",1/22/2021,3/7/2021,33
216,Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2),Fibrosis due to vascular prosth dev/grft,12/13/2020,6/17/2021,21
217,Planet Hulk,Burns involving 60-69% of body surface,3/28/2021,1/23/2021,81
218,Selma,"Supervision of high risk pregnancy, unsp, third trimester",2/19/2021,10/1/2020,53
219,Robot Carnival (Roboto kânibauru),"Inj cutan sensory nerve at hip and high level, right leg",6/5/2021,9/11/2020,83
220,American Crude,"Unsp superficial injuries of left back wall of thorax, init",10/30/2020,5/20/2021,73
221,The Bloodstained Butterfly,Crushing injury of forearm,10/18/2020,5/8/2021,92
222,Predestination,"Displ transverse fx shaft of unsp ulna, 7thP",10/30/2020,6/23/2021,83
223,Pardes,"Subluxation of T1/T2 thoracic vertebra, subsequent encounter",10/9/2020,9/12/2020,52
224,Crockdale,Acute panmyelosis with myelofibrosis,9/19/2020,12/14/2020,81
225,Prizzi's Honor,"Idiopathic gout, left wrist",4/26/2021,11/29/2020,43
226,"Match Factory Girl, The (Tulitikkutehtaan tyttö)","Displ seg fx shaft of r fibula, 7thE",4/17/2021,10/29/2020,32
227,"Aura, The (Aura, El)","Contusion of right thigh, subsequent encounter",10/16/2020,8/26/2021,32
228,Sign 'o' the Times,Gonococcal infection of musculoskeletal system,8/27/2021,4/23/2021,01
229,Lynch,Burn of second degree of left upper arm,6/8/2021,11/8/2020,13
230,Art and Craft,"Myositis ossificans traumatica, unspecified forearm",3/16/2021,5/22/2021,23
231,Pokrajina St.2,Injury of axillary nerve,12/8/2020,7/30/2021,22
232,"Velvet Vampire, The","Dislocation of left scapula, subsequent encounter",5/13/2021,7/23/2021,23
233,"Westerner, The","Oth fracture of left patella, subs for clos fx w nonunion",9/20/2020,6/23/2021,62
234,Shooting Fish,"Low vision, one eye",4/22/2021,10/4/2020,81
235,"Betrayed, The","Adverse effect of antacids and anti-gstrc-sec drugs, sequela",3/3/2021,4/15/2021,23
236,Bright Eyes,"Strain msl/fasc/tnd post grp at thi lev, unsp thigh, sequela",1/24/2021,1/18/2021,01
237,Picture Bride (Bijo photo),"Laceration w foreign body of right cheek and TMJ area, init",10/27/2020,12/29/2020,03
238,Au Hasard Balthazar,"Asphyxiation due to being trapped in bed linens, accidental",4/4/2021,8/24/2021,83
239,"Black Room, The","Infect/inflm reaction due to int fix of site, sequela",1/29/2021,5/5/2021,21
240,Far from Heaven,"Poisoning by unspecified psychodysleptics, assault, sequela",5/24/2021,6/11/2021,83
241,Darling,Burns of 60-69% of body surface w 60-69% third degree burns,2/13/2021,3/12/2021,73
242,"Blue Bird, The","Lead-induced chronic gout, left elbow, without tophus",7/13/2021,10/19/2020,33
243,Ice Age 4: Continental Drift,"Other secondary osteonecrosis, unspecified tibia",10/13/2020,3/13/2021,33
244,Amazonia,"Bus occupant (driver) (passenger) injured in unsp traf, subs",6/6/2021,2/27/2021,23
245,Total Recall,"Car driver injured in collision w car nontraf, subs",6/11/2021,1/22/2021,63
246,Without Lying Down: Frances Marion and the Power of Women in Hollywood,"Laceration without foreign body of unspecified hand, sequela",3/12/2021,9/19/2020,11
247,Last Tango in Paris (Ultimo tango a Parigi),"Other bursal cyst, hip",2/12/2021,10/10/2020,63
248,King of Kings,"Unsp nondisp fx of 7th cervcal vert, subs for fx w nonunion",2/10/2021,2/17/2021,11
249,I'm Going Home (Je rentre à la maison),"Nondisp fx of lateral condyle of unsp femr, 7thJ",8/27/2021,7/29/2021,92
250,"Band Called Death, A","Complete transverse atyp femoral fracture, right leg, 7thG",10/5/2020,12/29/2020,92
251,Quadrille,"Crushing injury of right shoulder and upper arm, init encntr",2/27/2021,9/20/2020,61
252,7 Seconds,"Path fracture in neoplastic disease, unsp foot, sequela",11/16/2020,5/21/2021,03
253,Constantine's Sword,"Poisoning by hydantoin derivatives, undetermined",11/21/2020,6/12/2021,73
254,Night of the Running Man,Barton's fracture of right radius,5/25/2021,6/21/2021,53
255,Shaolin Temple (Shao Lin si),"Sedative, hypnotic or anxiolytic dependence w oth disorder",3/31/2021,9/13/2020,03
256,Kafka,"Subluxation of distal interphaln joint of r rng fngr, subs",10/5/2020,4/25/2021,01
257,Courier,"Disp fx of less trochanter of r femr, 7thH",2/18/2021,12/12/2020,03
258,Bestiaire,"Traum hemor left cerebrum w LOC >24 hr w ret consc lev, init",4/15/2021,10/31/2020,33
259,Factotum,"Displ suprcndl fx w/o intrcndl extn low end l femr, 7thC",11/1/2020,9/27/2020,13
260,Penelope,Unsp focal TBI w loss of consciousness of 1-5 hrs 59 min,2/27/2021,7/26/2021,92
261,Imagine,Contusion of unspecified thumb without damage to nail,8/2/2021,3/31/2021,52
262,The Indifferent Beauty,"Disp fx of body of right talus, init for opn fx",9/16/2020,1/14/2021,51
263,Shallow Hal,"Nondisp osteochon fx r patella, 7thD",12/21/2020,6/13/2021,53
264,Taste the Blood of Dracula,"Prsn brd/alit from bus injured in nonclsn trnsp acc, sequela",8/22/2021,3/25/2021,83
265,Vincent & Theo,"Toxic effect of unsp gases, fumes and vapors, undet, subs",7/6/2021,8/14/2021,91
266,"Summer at Grandpa's, A (Dong dong de jia qi)","Assault by smoke, fire and flames",3/5/2021,8/13/2021,63
267,Yolanda and the Thief,"Toxic effect of organic solvents, self-harm, init",6/5/2021,1/17/2021,61
